INCOME,AGE,TARGET,SEX
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,M
between 115k & 150k,old,repaid,F
above 200k,young,repaid,M
below 115k per year,young,repaid,F
between 150k & 200k,young,repaid,F
above 200k,old,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,old,repaid,M
between 150k & 200k,old,repaid,F
above 200k,old,repaid,F
below 115k per year,young,repaid,F
below 115k per year,old,repaid,F
above 200k,old,repaid,F
between 150k & 200k,young,repaid,M
between 150k & 200k,young,repaid,M
above 200k,young,repaid,F
below 115k per year,young,repaid,F
between 150k & 200k,young,repaid,M
between 150k & 200k,young,repaid,M
above 200k,young,repaid,F
between 115k & 150k,young,repaid,M
below 115k per year,young,repaid,F
below 115k per year,old,repaid,M
between 150k & 200k,young,repaid,M
below 115k per year,young,repaid,F
between 150k & 200k,young,repaid,M
above 200k,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,M
above 200k,young,repaid,F
below 115k per year,old,repaid,F
between 150k & 200k,young,repaid,F
below 115k per year,old,repaid,M
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
above 200k,old,repaid,M
between 115k & 150k,old,repaid,F
above 200k,young,repaid,M
above 200k,old,repaid,F
above 200k,young,repaid,M
between 115k & 150k,old,repaid,F
between 115k & 150k,old,repaid,F
below 115k per year,young,repaid,F
above 200k,old,repaid,F
between 150k & 200k,young,repaid,M
above 200k,old,repaid,F
above 200k,young,repaid,F
above 200k,young,repaid,M
between 150k & 200k,old,repaid,F
above 200k,old,repaid,M
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,M
between 150k & 200k,young,repaid,M
below 115k per year,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,M
between 115k & 150k,old,repaid,F
between 115k & 150k,young,repaid,M
above 200k,young,repaid,F
between 115k & 150k,young,repaid,M
above 200k,young,repaid,F
below 115k per year,young,repaid,F
above 200k,young,repaid,M
between 115k & 150k,young,repaid,F
between 150k & 200k,young,repaid,F
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,M
below 115k per year,young,repaid,M
above 200k,old,repaid,F
between 115k & 150k,old,repaid,M
between 115k & 150k,young,repaid,M
below 115k per year,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,old,repaid,M
above 200k,young,repaid,F
between 115k & 150k,young,repaid,M
above 200k,young,repaid,F
above 200k,young,repaid,F
between 150k & 200k,old,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,young,repaid,F
between 150k & 200k,young,repaid,F
above 200k,young,repaid,F
below 115k per year,young,repaid,F
below 115k per year,old,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
between 115k & 150k,young,repaid,M
above 200k,young,repaid,M
above 200k,young,repaid,F
below 115k per year,old,repaid,F
above 200k,old,repaid,F
between 150k & 200k,young,repaid,M
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
below 115k per year,young,repaid,F
above 200k,young,repaid,M
between 150k & 200k,young,repaid,F
above 200k,old,repaid,F
below 115k per year,young,repaid,M
between 150k & 200k,young,repaid,M
between 150k & 200k,young,repaid,F
above 200k,young,repaid,F
between 150k & 200k,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,young,repaid,M
between 150k & 200k,young,repaid,F
below 115k per year,young,repaid,M
above 200k,young,repaid,F
between 115k & 150k,old,repaid,M
above 200k,old,repaid,M
between 150k & 200k,young,repaid,M
between 150k & 200k,old,repaid,F
below 115k per year,old,repaid,F
between 150k & 200k,young,repaid,M
above 200k,young,repaid,M
below 115k per year,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,M
above 200k,young,repaid,M
between 115k & 150k,young,repaid,F
below 115k per year,old,repaid,F
between 150k & 200k,old,repaid,F
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
above 200k,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,F
between 150k & 200k,young,repaid,M
above 200k,old,repaid,M
between 115k & 150k,young,repaid,F
above 200k,young,repaid,M
below 115k per year,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,M
between 150k & 200k,old,repaid,M
between 115k & 150k,young,repaid,M
above 200k,young,repaid,F
below 115k per year,old,repaid,F
between 150k & 200k,young,repaid,F
below 115k per year,young,repaid,F
between 115k & 150k,old,repaid,F
below 115k per year,young,repaid,F
above 200k,young,repaid,M
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,F
above 200k,old,repaid,F
below 115k per year,young,repaid,F
between 150k & 200k,young,repaid,F
between 150k & 200k,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,old,repaid,M
below 115k per year,young,repaid,F
above 200k,young,repaid,M
between 115k & 150k,old,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,M
above 200k,old,repaid,M
between 150k & 200k,old,repaid,F
below 115k per year,old,repaid,F
between 150k & 200k,young,repaid,F
between 115k & 150k,old,repaid,F
between 150k & 200k,young,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,F
above 200k,old,repaid,F
below 115k per year,old,repaid,F
below 115k per year,old,repaid,F
between 150k & 200k,young,repaid,F
below 115k per year,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,old,repaid,M
above 200k,old,repaid,M
between 115k & 150k,old,repaid,M
below 115k per year,old,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,old,repaid,F
between 150k & 200k,young,repaid,F
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,F
above 200k,old,repaid,F
above 200k,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,M
below 115k per year,young,repaid,F
above 200k,old,repaid,M
below 115k per year,old,repaid,M
between 150k & 200k,old,repaid,F
between 150k & 200k,young,repaid,M
below 115k per year,old,repaid,F
between 115k & 150k,old,repaid,F
between 115k & 150k,old,repaid,M
above 200k,old,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,old,repaid,F
above 200k,young,repaid,F
below 115k per year,young,repaid,F
below 115k per year,young,repaid,M
between 115k & 150k,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,M
above 200k,old,repaid,F
below 115k per year,old,repaid,F
above 200k,old,repaid,F
between 150k & 200k,old,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,old,repaid,F
between 150k & 200k,young,repaid,F
between 150k & 200k,young,repaid,M
above 200k,young,repaid,M
above 200k,old,repaid,F
above 200k,old,repaid,F
below 115k per year,young,repaid,F
between 115k & 150k,old,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,M
between 150k & 200k,young,repaid,F
below 115k per year,old,repaid,F
above 200k,young,repaid,M
above 200k,old,repaid,F
above 200k,young,repaid,M
below 115k per year,old,repaid,F
below 115k per year,old,repaid,M
between 115k & 150k,old,repaid,F
below 115k per year,young,repaid,M
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
between 115k & 150k,young,repaid,M
between 150k & 200k,old,repaid,F
between 150k & 200k,young,repaid,F
between 150k & 200k,young,repaid,F
above 200k,young,repaid,M
between 150k & 200k,young,repaid,M
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,M
above 200k,young,repaid,M
between 115k & 150k,young,repaid,F
between 150k & 200k,young,repaid,F
between 115k & 150k,old,repaid,F
between 150k & 200k,old,repaid,M
between 115k & 150k,old,repaid,M
between 150k & 200k,old,repaid,M
below 115k per year,old,repaid,F
below 115k per year,old,repaid,F
above 200k,young,repaid,F
above 200k,old,repaid,F
below 115k per year,old,repaid,F
above 200k,young,repaid,M
above 200k,old,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,F
above 200k,young,repaid,M
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
between 115k & 150k,old,repaid,F
below 115k per year,young,repaid,F
below 115k per year,young,repaid,F
between 115k & 150k,old,repaid,F
between 150k & 200k,young,repaid,M
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,M
between 150k & 200k,young,repaid,F
between 150k & 200k,old,repaid,M
above 200k,young,repaid,F
between 115k & 150k,old,repaid,M
between 115k & 150k,old,repaid,F
above 200k,young,repaid,M
between 150k & 200k,old,repaid,F
between 115k & 150k,old,repaid,M
below 115k per year,young,repaid,F
between 150k & 200k,old,repaid,M
above 200k,old,repaid,F
below 115k per year,young,repaid,F
above 200k,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,F
above 200k,young,repaid,F
above 200k,old,repaid,F
above 200k,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,F
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,M
above 200k,old,repaid,M
above 200k,young,repaid,F
between 115k & 150k,old,repaid,F
between 150k & 200k,old,repaid,F
above 200k,young,repaid,F
below 115k per year,old,repaid,M
below 115k per year,old,repaid,F
above 200k,old,repaid,F
below 115k per year,young,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,M
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,M
between 115k & 150k,old,repaid,M
above 200k,young,repaid,F
between 150k & 200k,young,repaid,M
below 115k per year,young,repaid,F
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
between 115k & 150k,old,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,M
between 115k & 150k,young,repaid,F
above 200k,young,repaid,F
between 150k & 200k,young,repaid,F
between 150k & 200k,young,repaid,M
above 200k,young,repaid,M
between 115k & 150k,young,repaid,M
above 200k,young,repaid,F
below 115k per year,old,repaid,F
above 200k,old,repaid,M
between 150k & 200k,old,repaid,M
between 150k & 200k,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,young,repaid,F
above 200k,old,repaid,M
below 115k per year,old,repaid,F
above 200k,young,repaid,M
between 115k & 150k,old,repaid,F
between 150k & 200k,young,repaid,M
above 200k,young,repaid,F
between 115k & 150k,young,repaid,M
between 115k & 150k,old,repaid,F
below 115k per year,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,M
above 200k,old,repaid,F
between 115k & 150k,old,repaid,F
between 115k & 150k,young,repaid,M
above 200k,young,repaid,M
between 150k & 200k,old,repaid,F
between 150k & 200k,young,repaid,M
between 150k & 200k,young,repaid,F
between 115k & 150k,young,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,old,repaid,F
between 115k & 150k,old,repaid,F
between 150k & 200k,young,repaid,F
above 200k,young,repaid,F
between 150k & 200k,old,repaid,M
between 150k & 200k,old,repaid,F
above 200k,old,repaid,M
between 150k & 200k,young,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,M
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,F
above 200k,young,repaid,F
below 115k per year,young,repaid,M
between 115k & 150k,old,repaid,M
below 115k per year,old,repaid,M
between 115k & 150k,old,repaid,F
below 115k per year,young,repaid,F
between 150k & 200k,young,repaid,F
between 150k & 200k,old,repaid,F
between 150k & 200k,young,repaid,M
below 115k per year,old,repaid,F
above 200k,young,repaid,F
above 200k,old,repaid,M
between 115k & 150k,old,repaid,F
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,old,repaid,F
above 200k,young,repaid,M
below 115k per year,young,repaid,F
between 115k & 150k,old,repaid,F
between 115k & 150k,old,repaid,F
above 200k,young,repaid,M
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
between 115k & 150k,old,repaid,M
between 150k & 200k,old,repaid,F
between 150k & 200k,old,repaid,F
above 200k,young,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,young,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,old,repaid,M
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,M
below 115k per year,old,repaid,F
above 200k,young,repaid,M
between 115k & 150k,young,repaid,M
between 150k & 200k,young,repaid,F
below 115k per year,young,repaid,F
below 115k per year,old,repaid,M
above 200k,young,repaid,F
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,old,repaid,F
above 200k,young,repaid,M
between 115k & 150k,old,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,young,repaid,M
between 150k & 200k,young,repaid,M
between 115k & 150k,young,repaid,M
below 115k per year,young,repaid,F
above 200k,old,repaid,F
between 150k & 200k,young,repaid,M
between 115k & 150k,young,repaid,F
above 200k,young,repaid,M
between 115k & 150k,young,repaid,M
below 115k per year,old,repaid,F
between 150k & 200k,old,repaid,M
between 150k & 200k,young,repaid,F
between 115k & 150k,young,repaid,M
between 150k & 200k,old,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,M
between 150k & 200k,old,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,old,repaid,F
between 115k & 150k,old,repaid,F
above 200k,young,repaid,M
between 150k & 200k,young,repaid,F
between 115k & 150k,old,repaid,M
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,F
below 115k per year,old,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,F
between 115k & 150k,old,repaid,M
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,M
between 150k & 200k,young,repaid,M
between 150k & 200k,young,repaid,M
above 200k,young,repaid,M
between 115k & 150k,old,repaid,M
above 200k,young,repaid,F
between 115k & 150k,old,repaid,F
above 200k,young,repaid,M
below 115k per year,old,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,M
between 115k & 150k,young,repaid,F
between 150k & 200k,young,repaid,F
above 200k,old,repaid,F
between 150k & 200k,young,repaid,F
above 200k,old,repaid,F
between 150k & 200k,young,repaid,M
below 115k per year,young,repaid,F
below 115k per year,old,repaid,M
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
between 115k & 150k,old,repaid,F
between 150k & 200k,young,repaid,F
between 115k & 150k,old,repaid,F
between 150k & 200k,old,repaid,F
below 115k per year,young,repaid,F
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,M
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,F
above 200k,young,repaid,M
between 115k & 150k,young,repaid,F
below 115k per year,old,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,young,repaid,M
between 115k & 150k,young,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,M
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
between 150k & 200k,young,repaid,F
above 200k,young,repaid,F
above 200k,young,repaid,M
between 150k & 200k,young,repaid,M
between 115k & 150k,young,repaid,M
below 115k per year,young,repaid,F
below 115k per year,young,repaid,M
between 115k & 150k,old,repaid,F
between 115k & 150k,young,repaid,M
between 150k & 200k,old,repaid,M
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
between 150k & 200k,old,repaid,M
between 150k & 200k,old,repaid,F
below 115k per year,young,repaid,M
below 115k per year,old,repaid,F
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,M
below 115k per year,young,repaid,F
between 150k & 200k,young,repaid,M
below 115k per year,old,repaid,M
below 115k per year,old,repaid,F
between 150k & 200k,young,repaid,F
below 115k per year,old,repaid,F
below 115k per year,old,repaid,F
above 200k,young,repaid,M
below 115k per year,old,repaid,F
below 115k per year,old,repaid,F
below 115k per year,old,repaid,M
above 200k,old,repaid,F
between 115k & 150k,old,repaid,M
below 115k per year,old,repaid,F
above 200k,young,repaid,M
above 200k,old,repaid,F
between 150k & 200k,young,repaid,M
between 115k & 150k,young,repaid,F
between 115k & 150k,old,repaid,F
between 115k & 150k,young,repaid,M
above 200k,old,repaid,F
above 200k,old,repaid,M
between 115k & 150k,young,repaid,F
between 115k & 150k,old,repaid,M
between 150k & 200k,young,repaid,M
above 200k,young,repaid,M
below 115k per year,young,repaid,M
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,F
above 200k,old,repaid,M
above 200k,young,repaid,F
above 200k,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,young,repaid,F
below 115k per year,old,repaid,M
above 200k,young,repaid,M
above 200k,old,repaid,F
above 200k,old,repaid,F
between 150k & 200k,young,repaid,F
between 115k & 150k,old,repaid,F
above 200k,old,repaid,M
between 115k & 150k,old,repaid,F
between 150k & 200k,young,repaid,M
between 115k & 150k,old,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,old,repaid,M
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
between 150k & 200k,young,repaid,F
above 200k,young,repaid,M
between 115k & 150k,young,repaid,M
above 200k,young,repaid,M
above 200k,old,repaid,M
between 115k & 150k,young,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,old,repaid,F
below 115k per year,young,repaid,M
between 115k & 150k,young,repaid,M
between 115k & 150k,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,F
above 200k,young,repaid,M
between 115k & 150k,young,repaid,M
between 115k & 150k,old,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,young,repaid,M
between 115k & 150k,old,repaid,F
above 200k,young,repaid,F
above 200k,young,repaid,M
between 150k & 200k,young,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,M
between 150k & 200k,young,repaid,F
between 115k & 150k,young,repaid,M
above 200k,old,repaid,M
above 200k,old,repaid,M
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,M
between 115k & 150k,old,repaid,F
between 115k & 150k,young,repaid,M
between 115k & 150k,young,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,M
between 115k & 150k,young,repaid,F
between 115k & 150k,young,repaid,F
between 150k & 200k,young,repaid,M
above 200k,old,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,young,repaid,M
above 200k,young,repaid,M
between 150k & 200k,old,repaid,F
above 200k,young,repaid,M
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,young,repaid,M
between 115k & 150k,old,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,old,repaid,M
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,M
above 200k,old,repaid,F
between 115k & 150k,young,repaid,M
between 150k & 200k,old,repaid,F
between 150k & 200k,young,repaid,M
below 115k per year,old,repaid,F
above 200k,old,repaid,M
between 115k & 150k,old,repaid,F
below 115k per year,young,repaid,M
between 150k & 200k,young,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,M
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
below 115k per year,old,repaid,F
above 200k,young,repaid,F
between 150k & 200k,young,repaid,F
above 200k,young,repaid,M
between 150k & 200k,young,repaid,M
above 200k,young,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
between 150k & 200k,young,repaid,M
between 150k & 200k,old,repaid,M
between 150k & 200k,young,repaid,M
below 115k per year,young,repaid,F
above 200k,young,repaid,F
above 200k,old,repaid,M
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
above 200k,young,repaid,F
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,M
between 150k & 200k,old,repaid,M
between 115k & 150k,young,repaid,M
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,young,repaid,F
above 200k,young,repaid,F
between 150k & 200k,young,repaid,M
between 150k & 200k,young,repaid,M
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,old,repaid,F
above 200k,old,repaid,F
between 115k & 150k,young,repaid,M
between 150k & 200k,young,repaid,M
between 115k & 150k,old,repaid,F
between 150k & 200k,old,repaid,M
between 150k & 200k,old,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,F
above 200k,young,repaid,M
below 115k per year,young,repaid,F
between 150k & 200k,old,repaid,F
below 115k per year,old,repaid,M
between 115k & 150k,young,repaid,M
between 150k & 200k,young,repaid,M
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
between 115k & 150k,young,repaid,M
below 115k per year,old,repaid,F
between 115k & 150k,old,repaid,F
above 200k,young,repaid,M
between 115k & 150k,young,repaid,M
between 115k & 150k,young,repaid,F
above 200k,young,repaid,F
between 115k & 150k,old,repaid,F
below 115k per year,young,repaid,M
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,young,repaid,F
below 115k per year,young,repaid,M
between 150k & 200k,old,repaid,M
between 150k & 200k,young,repaid,F
above 200k,old,repaid,M
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,old,repaid,F
below 115k per year,old,repaid,F
above 200k,young,repaid,F
between 150k & 200k,young,repaid,F
between 115k & 150k,old,repaid,M
below 115k per year,young,repaid,M
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,M
above 200k,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,young,repaid,M
above 200k,young,repaid,M
between 150k & 200k,old,repaid,F
between 150k & 200k,old,repaid,F
between 150k & 200k,young,repaid,F
below 115k per year,young,repaid,M
above 200k,old,repaid,M
between 150k & 200k,old,repaid,M
above 200k,young,repaid,M
below 115k per year,old,repaid,F
below 115k per year,old,repaid,M
above 200k,young,repaid,M
above 200k,old,repaid,M
between 115k & 150k,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,F
above 200k,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,old,repaid,M
between 150k & 200k,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,M
between 115k & 150k,young,repaid,F
between 150k & 200k,old,repaid,M
between 115k & 150k,young,repaid,F
above 200k,young,repaid,M
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
below 115k per year,old,repaid,F
above 200k,old,repaid,M
between 150k & 200k,old,repaid,F
below 115k per year,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,old,repaid,M
between 115k & 150k,young,repaid,F
between 150k & 200k,old,repaid,M
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,old,repaid,F
between 115k & 150k,young,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
between 150k & 200k,young,repaid,F
below 115k per year,young,repaid,F
above 200k,young,repaid,F
below 115k per year,young,repaid,F
above 200k,old,repaid,F
below 115k per year,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,M
between 115k & 150k,old,repaid,M
below 115k per year,old,repaid,M
between 115k & 150k,old,repaid,F
below 115k per year,old,repaid,F
between 150k & 200k,young,repaid,F
above 200k,young,repaid,F
between 150k & 200k,young,repaid,F
below 115k per year,old,repaid,F
between 115k & 150k,old,repaid,M
between 150k & 200k,young,repaid,M
between 115k & 150k,young,repaid,M
between 150k & 200k,old,repaid,M
below 115k per year,young,repaid,F
above 200k,young,repaid,F
above 200k,young,repaid,M
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
above 200k,old,repaid,M
below 115k per year,old,repaid,F
between 115k & 150k,old,repaid,F
between 150k & 200k,young,repaid,F
between 115k & 150k,young,repaid,M
above 200k,old,repaid,M
between 150k & 200k,young,repaid,F
between 115k & 150k,young,repaid,M
below 115k per year,old,repaid,F
between 150k & 200k,young,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,young,repaid,M
between 115k & 150k,old,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,F
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,M
above 200k,young,repaid,F
between 115k & 150k,old,repaid,F
between 150k & 200k,young,repaid,M
between 115k & 150k,old,repaid,F
between 150k & 200k,young,repaid,M
below 115k per year,old,repaid,F
above 200k,old,repaid,M
below 115k per year,young,repaid,F
between 115k & 150k,young,repaid,F
between 150k & 200k,old,repaid,F
between 115k & 150k,old,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,young,repaid,F
between 150k & 200k,old,repaid,M
between 115k & 150k,old,repaid,F
between 150k & 200k,old,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,M
above 200k,young,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,old,repaid,F
below 115k per year,young,repaid,F
above 200k,young,repaid,M
above 200k,old,repaid,M
below 115k per year,old,repaid,F
below 115k per year,old,repaid,F
above 200k,old,repaid,F
between 115k & 150k,young,repaid,M
above 200k,old,repaid,F
between 115k & 150k,young,repaid,F
between 150k & 200k,old,repaid,F
above 200k,old,repaid,F
above 200k,old,repaid,M
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
above 200k,old,repaid,M
between 150k & 200k,old,repaid,F
between 115k & 150k,old,repaid,F
between 115k & 150k,old,repaid,M
below 115k per year,young,repaid,F
below 115k per year,young,repaid,F
below 115k per year,old,repaid,M
between 150k & 200k,young,repaid,F
between 150k & 200k,old,repaid,F
between 150k & 200k,young,repaid,F
between 115k & 150k,old,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
below 115k per year,young,repaid,F
below 115k per year,young,repaid,F
above 200k,old,repaid,F
above 200k,young,repaid,F
between 115k & 150k,young,repaid,F
between 150k & 200k,old,repaid,F
between 150k & 200k,old,repaid,M
below 115k per year,young,repaid,F
between 150k & 200k,young,repaid,F
above 200k,young,repaid,M
between 150k & 200k,young,repaid,F
above 200k,young,repaid,M
above 200k,old,repaid,M
between 150k & 200k,old,repaid,F
between 115k & 150k,young,repaid,F
above 200k,old,repaid,F
above 200k,old,repaid,F
